Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,31400,8968,4280
,2,0.9,0.04,1800,,,,2,29696,8480,4048
,3,0.55,0.024,1100,,,,3,28428,8116,3876
,4,0.2,0.003,400,,,,4,27788,7936,3788
,,,,,,,,5,27688,7908,3776
,,,,,,,,6,28180,8048,3840
,,,,,,,,7,29228,8348,3984
,,,,,,,,8,30176,8616,4116
,,,,,,,,9,31784,9076,4332
,,,,,,,,10,33360,9528,4548
,,,,,,,,11,34312,9796,4676
,,,,,,,,12,34664,9896,4724
,,,,,,,,13,34828,9948,4748
,,,,,,,,14,34520,9856,4704
,,,,,,,,15,34176,9760,4660
,,,,,,,,16,34376,9816,4684
,,,,,,,,17,37724,10772,5144
,,,,,,,,18,40900,11680,5576
,,,,,,,,19,40660,11612,5544
,,,,,,,,20,39416,11260,5372
,,,,,,,,21,37960,10840,5176
,,,,,,,,22,35928,10260,4900
,,,,,,,,23,33412,9540,4556
,,,,,,,,24,30592,8736,4168
,,,,,,,,25,28204,8052,3844
,,,,,,,,26,26756,7640,3648
,,,,,,,,27,26060,7444,3552
,,,,,,,,28,25904,7396,3532
,,,,,,,,29,26472,7560,3608
,,,,,,,,30,27920,7972,3804
,,,,,,,,31,30092,8592,4100
,,,,,,,,32,31872,9100,4344
,,,,,,,,33,34052,9724,4644
,,,,,,,,34,36288,10364,4944
,,,,,,,,35,37928,10832,5168
,,,,,,,,36,38600,11020,5264
,,,,,,,,37,38540,11004,5252
,,,,,,,,38,38288,10936,5220
,,,,,,,,39,38168,10900,5204
,,,,,,,,40,38748,11064,5284
,,,,,,,,41,42384,12104,5776
,,,,,,,,42,46060,13156,6280
,,,,,,,,43,45656,13040,6224
,,,,,,,,44,44552,12724,6076
,,,,,,,,45,42752,12208,5828
,,,,,,,,46,39916,11400,5440
,,,,,,,,47,36400,10396,4964
,,,,,,,,48,33216,9488,4528
,,,,,,,,49,31104,8884,4240
,,,,,,,,50,30052,8580,4096
,,,,,,,,51,29544,8436,4028
,,,,,,,,52,29604,8456,4036
,,,,,,,,53,30668,8756,4180
,,,,,,,,54,33820,9656,4608
,,,,,,,,55,39392,11248,5372
,,,,,,,,56,42516,12140,5796
,,,,,,,,57,43044,12292,5868
,,,,,,,,58,43340,12376,5908
,,,,,,,,59,43728,12488,5960
,,,,,,,,60,43800,12508,5972
,,,,,,,,61,43620,12460,5948
,,,,,,,,62,43560,12444,5936
,,,,,,,,63,43396,12392,5916
,,,,,,,,64,43996,12564,5996
,,,,,,,,65,47432,13544,6464
,,,,,,,,66,51184,14616,6980
,,,,,,,,67,51284,14644,6992
,,,,,,,,68,50420,14400,6876
,,,,,,,,69,48780,13932,6652
,,,,,,,,70,45904,13108,6260
,,,,,,,,71,42060,12012,5736
,,,,,,,,72,38696,11052,5276
,,,,,,,,73,36604,10456,4988
,,,,,,,,74,35504,10140,4840
,,,,,,,,75,34944,9980,4764
,,,,,,,,76,35008,9996,4772
,,,,,,,,77,35960,10272,4904
,,,,,,,,78,38932,11120,5308
,,,,,,,,79,44336,12664,6044
,,,,,,,,80,47280,13504,6444
,,,,,,,,81,47336,13520,6456
,,,,,,,,82,47212,13484,6436
,,,,,,,,83,47108,13452,6420
,,,,,,,,84,46644,13320,6360
,,,,,,,,85,45976,13132,6268
,,,,,,,,86,45580,13020,6216
,,,,,,,,87,45224,12916,6164
,,,,,,,,88,45692,13048,6228
,,,,,,,,89,48884,13964,6664
,,,,,,,,90,51484,14704,7020
,,,,,,,,91,51088,14588,6964
,,,,,,,,92,49896,14248,6804
,,,,,,,,93,47988,13704,6540
,,,,,,,,94,44828,12804,6112
,,,,,,,,95,40804,11656,5564
,,,,,,,,96,37080,10592,5056
,,,,,,,,97,34704,9912,4728
,,,,,,,,98,33432,9548,4560
,,,,,,,,99,32792,9364,4468
,,,,,,,,100,32672,9332,4456
,,,,,,,,101,33512,9572,4568
,,,,,,,,102,36260,10356,4944
,,,,,,,,103,41484,11848,5656
,,,,,,,,104,44544,12724,6072
,,,,,,,,105,44868,12816,6120
,,,,,,,,106,45068,12872,6144
,,,,,,,,107,44864,12812,6120
,,,,,,,,108,44236,12636,6032
,,,,,,,,109,43692,12476,5956
,,,,,,,,110,43476,12416,5928
,,,,,,,,111,43132,12320,5880
,,,,,,,,112,43412,12400,5916
,,,,,,,,113,46168,13184,6296
,,,,,,,,114,49188,14048,6704
,,,,,,,,115,49008,13996,6684
,,,,,,,,116,47896,13680,6528
,,,,,,,,117,46108,13168,6284
,,,,,,,,118,43152,12324,5884
,,,,,,,,119,39180,11188,5340
,,,,,,,,120,35748,10212,4872
,,,,,,,,121,33504,9568,4564
,,,,,,,,122,32284,9220,4400
,,,,,,,,123,31660,9040,4316
,,,,,,,,124,31504,8996,4296
,,,,,,,,125,32272,9216,4400
,,,,,,,,126,35000,9996,4772
,,,,,,,,127,40128,11460,5472
,,,,,,,,128,43200,12340,5892
,,,,,,,,129,43560,12440,5936
,,,,,,,,130,43604,12452,5944
,,,,,,,,131,43412,12400,5916
,,,,,,,,132,42768,12212,5832
,,,,,,,,133,42060,12012,5736
,,,,,,,,134,41692,11904,5684
,,,,,,,,135,41112,11740,5604
,,,,,,,,136,41308,11800,5632
,,,,,,,,137,43720,12484,5960
,,,,,,,,138,46028,13144,6276
,,,,,,,,139,45288,12936,6176
,,,,,,,,140,43984,12560,5996
,,,,,,,,141,42244,12064,5760
,,,,,,,,142,39976,11420,5452
,,,,,,,,143,36896,10540,5028
,,,,,,,,144,33728,9632,4600
,,,,,,,,145,31276,8936,4264
,,,,,,,,146,29920,8544,4080
,,,,,,,,147,29184,8332,3976
,,,,,,,,148,28884,8252,3936
,,,,,,,,149,29172,8332,3976
,,,,,,,,150,30284,8648,4128
,,,,,,,,151,32292,9220,4400
,,,,,,,,152,34408,9824,4688
,,,,,,,,153,36572,10444,4988
,,,,,,,,154,37884,10816,5164
,,,,,,,,155,38252,10924,5212
,,,,,,,,156,37944,10836,5172
,,,,,,,,157,37248,10636,5076
,,,,,,,,158,36460,10412,4968
,,,,,,,,159,35904,10256,4896
,,,,,,,,160,36288,10364,4944
,,,,,,,,161,38944,11120,5312
,,,,,,,,162,41612,11880,5672
,,,,,,,,163,41120,11744,5608
,,,,,,,,164,39800,11368,5428
,,,,,,,,165,38552,11008,5256
,,,,,,,,166,36748,10496,5008
,,,,,,,,167,34388,9820,4688
,,,,,,,,168,31792,9080,4336
,,,,,,,,169,29616,8456,4040
,,,,,,,,170,28356,8096,3864
,,,,,,,,171,27608,7884,3764
,,,,,,,,172,27408,7828,3736
,,,,,,,,173,27616,7888,3764
,,,,,,,,174,28420,8116,3876
,,,,,,,,175,29976,8560,4084
,,,,,,,,176,31604,9024,4308
,,,,,,,,177,33872,9672,4616
,,,,,,,,178,35624,10176,4856
,,,,,,,,179,36732,10492,5008
,,,,,,,,180,37424,10688,5104
,,,,,,,,181,37544,10720,5120
,,,,,,,,182,37336,10660,5088
,,,,,,,,183,37204,10624,5072
,,,,,,,,184,37724,10776,5144
,,,,,,,,185,40960,11700,5584
,,,,,,,,186,44324,12660,6044
,,,,,,,,187,44256,12640,6036
,,,,,,,,188,43116,12312,5876
,,,,,,,,189,41620,11884,5672
,,,,,,,,190,39164,11184,5340
,,,,,,,,191,35932,10260,4900
,,,,,,,,192,33104,9456,4512
,,,,,,,,193,31252,8924,4260
,,,,,,,,194,30360,8672,4140
,,,,,,,,195,30028,8576,4096
,,,,,,,,196,30144,8608,4108
,,,,,,,,197,31232,8920,4260
,,,,,,,,198,34368,9816,4684
,,,,,,,,199,40012,11428,5452
,,,,,,,,200,43272,12360,5900
,,,,,,,,201,43592,12448,5944
,,,,,,,,202,43636,12460,5948
,,,,,,,,203,43612,12456,5948
,,,,,,,,204,43240,12348,5896
,,,,,,,,205,42508,12140,5796
,,,,,,,,206,42052,12008,5736
,,,,,,,,207,41464,11840,5656
,,,,,,,,208,41604,11880,5672
,,,,,,,,209,44404,12680,6056
,,,,,,,,210,48176,13760,6568
,,,,,,,,211,48060,13724,6552
,,,,,,,,212,46772,13356,6376
,,,,,,,,213,44900,12820,6120
,,,,,,,,214,41812,11940,5700
,,,,,,,,215,37880,10816,5164
,,,,,,,,216,34400,9824,4688
,,,,,,,,217,32116,9172,4380
,,,,,,,,218,30980,8848,4220
,,,,,,,,219,30356,8668,4140
,,,,,,,,220,30312,8656,4132
,,,,,,,,221,31188,8908,4252
,,,,,,,,222,34084,9736,4644
,,,,,,,,223,39572,11300,5396
,,,,,,,,224,42504,12140,5796
,,,,,,,,225,42660,12184,5816
,,,,,,,,226,42876,12244,5844
,,,,,,,,227,42892,12248,5848
,,,,,,,,228,42476,12132,5792
,,,,,,,,229,41776,11932,5696
,,,,,,,,230,41420,11828,5648
,,,,,,,,231,41048,11720,5596
,,,,,,,,232,41328,11800,5632
