Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,161,19472,5560,2656
,,,,,,,,162,20806,5940,2836
,,,,,,,,163,20560,5872,2804
,,,,,,,,164,19900,5684,2714
,,,,,,,,165,19276,5504,2628
,,,,,,,,166,18374,5248,2504
,,,,,,,,167,17194,4910,2344
,,,,,,,,168,15896,4540,2168
,,,,,,,,169,14808,4228,2020
,,,,,,,,170,14178,4048,1932
,,,,,,,,171,13804,3942,1882
,,,,,,,,172,13704,3914,1868
,,,,,,,,173,13808,3944,1882
,,,,,,,,174,14210,4058,1938
,,,,,,,,175,14988,4280,2042
,,,,,,,,176,15802,4512,2154
,,,,,,,,177,16936,4836,2308
,,,,,,,,178,17812,5088,2428
,,,,,,,,179,18366,5246,2504
,,,,,,,,180,18712,5344,2552
,,,,,,,,181,18772,5360,2560
,,,,,,,,182,18668,5330,2544
,,,,,,,,183,18602,5312,2536
,,,,,,,,184,18862,5388,2572
,,,,,,,,185,20480,5850,2792
,,,,,,,,186,22162,6330,3022
,,,,,,,,187,22128,6320,3018
,,,,,,,,188,21558,6156,2938
,,,,,,,,189,20810,5942,2836
,,,,,,,,190,19582,5592,2670
,,,,,,,,191,17966,5130,2450
,,,,,,,,192,16552,4728,2256
,,,,,,,,193,15626,4462,2130
,,,,,,,,194,15180,4336,2070
,,,,,,,,195,15014,4288,2048
,,,,,,,,196,15072,4304,2054
,,,,,,,,197,15616,4460,2130
,,,,,,,,198,17184,4908,2342
,,,,,,,,199,20006,5714,2726
,,,,,,,,200,21636,6180,2950
,,,,,,,,201,21796,6224,2972
,,,,,,,,202,21818,6230,2974
,,,,,,,,203,21806,6228,2974
,,,,,,,,204,21620,6174,2948
,,,,,,,,205,21254,6070,2898
,,,,,,,,206,21026,6004,2868
,,,,,,,,207,20732,5920,2828
,,,,,,,,208,20802,5940,2836
,,,,,,,,209,22202,6340,3028
,,,,,,,,210,24088,6880,3284
,,,,,,,,211,24030,6862,3276
,,,,,,,,212,23386,6678,3188
,,,,,,,,213,22450,6410,3060
,,,,,,,,214,20906,5970,2850
,,,,,,,,215,18940,5408,2582
,,,,,,,,216,17200,4912,2344
,,,,,,,,217,16058,4586,2190
,,,,,,,,218,15490,4424,2110
,,,,,,,,219,15178,4334,2070
,,,,,,,,220,15156,4328,2066
,,,,,,,,221,15594,4454,2126
,,,,,,,,222,17042,4868,2322
,,,,,,,,223,19786,5650,2698
,,,,,,,,224,21252,6070,2898
,,,,,,,,225,21330,6092,2908
,,,,,,,,226,21438,6122,2922
,,,,,,,,227,21446,6124,2924
,,,,,,,,228,21238,6066,2896
,,,,,,,,229,20888,5966,2848
,,,,,,,,230,20710,5914,2824
,,,,,,,,231,20524,5860,2798
,,,,,,,,232,20664,5900,2816
,,,,,,,,233,22016,6288,3002
,,,,,,,,234,23556,6726,3210
,,,,,,,,235,23382,6678,3188
,,,,,,,,236,22802,6512,3110
,,,,,,,,237,21946,6268,2992
,,,,,,,,238,20500,5854,2796
,,,,,,,,239,18594,5310,2534
,,,,,,,,240,16936,4836,2308
,,,,,,,,241,15884,4538,2166
,,,,,,,,242,15358,4386,2094
,,,,,,,,243,15116,4316,2060
,,,,,,,,244,15184,4336,2070
,,,,,,,,245,15660,4472,2134
,,,,,,,,246,17226,4918,2348
,,,,,,,,247,19982,5708,2726
,,,,,,,,248,21444,6124,2924
,,,,,,,,249,21446,6124,2924
,,,,,,,,250,21318,6088,2906
,,,,,,,,251,21242,6066,2896
,,,,,,,,252,21072,6018,2872
,,,,,,,,253,20776,5932,2832
,,,,,,,,254,20656,5900,2816
,,,,,,,,255,20460,5842,2788
,,,,,,,,256,20598,5882,2808
,,,,,,,,257,21930,6262,2990
,,,,,,,,258,23562,6730,3212
,,,,,,,,259,23474,6704,3200
,,,,,,,,260,22896,6540,3120
,,,,,,,,261,22018,6288,3002
,,,,,,,,262,20510,5858,2796
,,,,,,,,263,18550,5298,2530
,,,,,,,,264,16824,4804,2292
,,,,,,,,265,15684,4478,2138
,,,,,,,,266,15058,4300,2052
,,,,,,,,267,14762,4216,2012
,,,,,,,,268,14756,4214,2010
,,,,,,,,269,15214,4344,2074
,,,,,,,,270,16644,4752,2270
,,,,,,,,271,19216,5488,2620
,,,,,,,,272,20994,5996,2862
,,,,,,,,273,21488,6136,2928
,,,,,,,,274,21838,6238,2978
,,,,,,,,275,22146,6324,3018
,,,,,,,,276,22224,6346,3030
,,,,,,,,277,22136,6322,3018
,,,,,,,,278,22038,6294,3004
,,,,,,,,279,21746,6210,2964
,,,,,,,,280,21694,6196,2958
,,,,,,,,281,22728,6492,3100
,,,,,,,,282,23902,6826,3260
,,,,,,,,283,23660,6756,3226
,,,,,,,,284,22958,6556,3130
,,,,,,,,285,21994,6280,2998
,,,,,,,,286,20448,5840,2786
,,,,,,,,287,18502,5284,2522
,,,,,,,,288,16810,4800,2292
,,,,,,,,289,15622,4462,2130
,,,,,,,,290,15026,4290,2048
,,,,,,,,291,14742,4210,2008
,,,,,,,,292,14688,4196,2002
,,,,,,,,293,15084,4308,2056
,,,,,,,,294,16434,4694,2240
,,,,,,,,295,19002,5426,2590
,,,,,,,,296,20680,5906,2818
,,,,,,,,297,21006,6000,2864
,,,,,,,,298,21096,6024,2876
,,,,,,,,299,21124,6032,2880
,,,,,,,,300,21032,6006,2868
,,,,,,,,301,20840,5952,2842
,,,,,,,,302,20756,5928,2830
,,,,,,,,303,20678,5906,2818
,,,,,,,,304,20978,5990,2860
,,,,,,,,305,22282,6364,3038
,,,,,,,,306,23590,6738,3216
,,,,,,,,307,23376,6676,3188
,,,,,,,,308,22778,6506,3106
,,,,,,,,309,22020,6290,3002
,,,,,,,,310,20890,5966,2848
,,,,,,,,311,19374,5532,2642
,,,,,,,,312,17862,5100,2434
,,,,,,,,313,16682,4764,2274
,,,,,,,,314,15992,4568,2180
,,,,,,,,315,15604,4458,2128
,,,,,,,,316,15484,4422,2110
,,,,,,,,317,15646,4468,2132
,,,,,,,,318,16194,4626,2208
,,,,,,,,319,17222,4918,2348
,,,,,,,,320,18256,5214,2488
,,,,,,,,321,19426,5548,2648
,,,,,,,,322,20346,5810,2774
,,,,,,,,323,20734,5920,2828
,,,,,,,,324,20604,5884,2808
,,,,,,,,325,20276,5790,2766
,,,,,,,,326,19896,5682,2712
,,,,,,,,327,19716,5630,2688
,,,,,,,,328,19876,5676,2710
,,,,,,,,329,21172,6046,2888
,,,,,,,,330,22940,6552,3128
,,,,,,,,331,22934,6550,3128
,,,,,,,,332,22420,6402,3058
,,,,,,,,333,21714,6202,2960
,,,,,,,,334,20854,5956,2844
,,,,,,,,335,19832,5664,2704
,,,,,,,,336,18642,5324,2542
,,,,,,,,337,17522,5004,2390
,,,,,,,,338,16852,4812,2298
,,,,,,,,339,16580,4736,2260
,,,,,,,,340,16548,4726,2256
,,,,,,,,341,16734,4778,2280
,,,,,,,,342,17200,4912,2344
,,,,,,,,343,18004,5142,2454
,,,,,,,,344,18872,5388,2574
,,,,,,,,345,20098,5740,2740
,,,,,,,,346,21020,6002,2866
,,,,,,,,347,21524,6146,2934
,,,,,,,,348,21692,6194,2958
,,,,,,,,349,21674,6190,2956
,,,,,,,,350,21454,6128,2926
,,,,,,,,351,21322,6090,2908
,,,,,,,,352,21494,6138,2930
,,,,,,,,353,22886,6536,3120
,,,,,,,,354,24706,7056,3368
,,,,,,,,355,24736,7064,3372
,,,,,,,,356,24048,6868,3280
,,,,,,,,357,23360,6672,3184
,,,,,,,,358,22196,6340,3026
,,,,,,,,359,20806,5942,2836
,,,,,,,,360,19414,5544,2646
,,,,,,,,361,18436,5266,2514
,,,,,,,,362,17926,5118,2444
,,,,,,,,363,17720,5060,2416
,,,,,,,,364,17728,5064,2416
,,,,,,,,365,18138,5180,2472
,,,,,,,,366,19208,5486,2618
,,,,,,,,367,20976,5990,2860
,,,,,,,,368,22278,6362,3038
,,,,,,,,369,23174,6618,3160
,,,,,,,,370,23674,6762,3228
,,,,,,,,371,23866,6816,3254
,,,,,,,,372,23676,6762,3228
,,,,,,,,373,23296,6652,3176
,,,,,,,,374,23030,6578,3140
,,,,,,,,375,22740,6494,3100
,,,,,,,,376,22784,6508,3106
,,,,,,,,377,23944,6838,3264
,,,,,,,,378,25490,7280,3474
,,,,,,,,379,25208,7200,3436
,,,,,,,,380,24446,6982,3332
,,,,,,,,381,23336,6664,3180
,,,,,,,,382,21736,6208,2964
,,,,,,,,383,19822,5660,2702
,,,,,,,,384,18056,5158,2462
,,,,,,,,385,16844,4810,2296
,,,,,,,,386,16160,4616,2202
,,,,,,,,387,15852,4528,2160
,,,,,,,,388,15770,4504,2150
,,,,,,,,389,16168,4618,2204
,,,,,,,,390,17542,5008,2392
,,,,,,,,391,20034,5722,2732
,,,,,,,,392,21496,6140,2930
,,,,,,,,393,21712,6202,2960
,,,,,,,,394,21722,6202,2960
,,,,,,,,395,21706,6200,2958
