Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,23550,6726,3210
,2,0.9,0.04,1800,,,,2,22272,6360,3036
,3,0.55,0.024,1100,,,,3,21321,6087,2907
,4,0.2,0.003,400,,,,4,20841,5952,2841
,,,,,,,,5,20766,5931,2832
,,,,,,,,6,21135,6036,2880
,,,,,,,,7,21921,6261,2988
,,,,,,,,8,22632,6462,3087
,,,,,,,,9,23838,6807,3249
,,,,,,,,10,25020,7146,3411
,,,,,,,,11,25734,7347,3507
,,,,,,,,12,25998,7422,3543
,,,,,,,,13,26121,7461,3561
,,,,,,,,14,25890,7392,3528
,,,,,,,,15,25632,7320,3495
,,,,,,,,16,25782,7362,3513
,,,,,,,,17,28293,8079,3858
,,,,,,,,18,30675,8760,4182
,,,,,,,,19,30495,8709,4158
,,,,,,,,20,29562,8445,4029
,,,,,,,,21,28470,8130,3882
,,,,,,,,22,26946,7695,3675
,,,,,,,,23,25059,7155,3417
,,,,,,,,24,22944,6552,3126
,,,,,,,,25,21153,6039,2883
,,,,,,,,26,20067,5730,2736
,,,,,,,,27,19545,5583,2664
,,,,,,,,28,19428,5547,2649
,,,,,,,,29,19854,5670,2706
,,,,,,,,30,20940,5979,2853
,,,,,,,,31,22569,6444,3075
,,,,,,,,32,23904,6825,3258
,,,,,,,,33,25539,7293,3483
,,,,,,,,34,27216,7773,3708
,,,,,,,,35,28446,8124,3876
,,,,,,,,36,28950,8265,3948
,,,,,,,,37,28905,8253,3939
,,,,,,,,38,28716,8202,3915
,,,,,,,,39,28626,8175,3903
,,,,,,,,40,29061,8298,3963
,,,,,,,,41,31788,9078,4332
,,,,,,,,42,34545,9867,4710
,,,,,,,,43,34242,9780,4668
,,,,,,,,44,33414,9543,4557
,,,,,,,,45,32064,9156,4371
,,,,,,,,46,29937,8550,4080
,,,,,,,,47,27300,7797,3723
,,,,,,,,48,24912,7116,3396
,,,,,,,,49,23328,6663,3180
,,,,,,,,50,22539,6435,3072
,,,,,,,,51,22158,6327,3021
,,,,,,,,52,22203,6342,3027
,,,,,,,,53,23001,6567,3135
,,,,,,,,54,25365,7242,3456
,,,,,,,,55,29544,8436,4029
,,,,,,,,56,31887,9105,4347
,,,,,,,,57,32283,9219,4401
,,,,,,,,58,32505,9282,4431
,,,,,,,,59,32796,9366,4470
,,,,,,,,60,32850,9381,4479
,,,,,,,,61,32715,9345,4461
,,,,,,,,62,32670,9333,4452
,,,,,,,,63,32547,9294,4437
,,,,,,,,64,32997,9423,4497
,,,,,,,,65,35574,10158,4848
,,,,,,,,66,38388,10962,5235
,,,,,,,,67,38463,10983,5244
,,,,,,,,68,37815,10800,5157
,,,,,,,,69,36585,10449,4989
,,,,,,,,70,34428,9831,4695
,,,,,,,,71,31545,9009,4302
,,,,,,,,72,29022,8289,3957
,,,,,,,,73,27453,7842,3741
,,,,,,,,74,26628,7605,3630
,,,,,,,,75,26208,7485,3573
,,,,,,,,76,26256,7497,3579
,,,,,,,,77,26970,7704,3678
,,,,,,,,78,29199,8340,3981
,,,,,,,,79,33252,9498,4533
,,,,,,,,80,35460,10128,4833
,,,,,,,,81,35502,10140,4842
,,,,,,,,82,35409,10113,4827
,,,,,,,,83,35331,10089,4815
,,,,,,,,84,34983,9990,4770
,,,,,,,,85,34482,9849,4701
,,,,,,,,86,34185,9765,4662
,,,,,,,,87,33918,9687,4623
,,,,,,,,88,34269,9786,4671
,,,,,,,,89,36663,10473,4998
,,,,,,,,90,38613,11028,5265
,,,,,,,,91,38316,10941,5223
,,,,,,,,92,37422,10686,5103
,,,,,,,,93,35991,10278,4905
,,,,,,,,94,33621,9603,4584
,,,,,,,,95,30603,8742,4173
,,,,,,,,96,27810,7944,3792
,,,,,,,,97,26028,7434,3546
,,,,,,,,98,25074,7161,3420
,,,,,,,,99,24594,7023,3351
,,,,,,,,100,24504,6999,3342
,,,,,,,,101,25134,7179,3426
,,,,,,,,102,27195,7767,3708
,,,,,,,,103,31113,8886,4242
,,,,,,,,104,33408,9543,4554
,,,,,,,,105,33651,9612,4590
,,,,,,,,106,33801,9654,4608
,,,,,,,,107,33648,9609,4590
,,,,,,,,108,33177,9477,4524
,,,,,,,,109,32769,9357,4467
,,,,,,,,110,32607,9312,4446
,,,,,,,,111,32349,9240,4410
,,,,,,,,112,32559,9300,4437
,,,,,,,,113,34626,9888,4722
,,,,,,,,114,36891,10536,5028
,,,,,,,,115,36756,10497,5013
,,,,,,,,116,35922,10260,4896
,,,,,,,,117,34581,9876,4713
,,,,,,,,118,32364,9243,4413
,,,,,,,,119,29385,8391,4005
,,,,,,,,120,26811,7659,3654
,,,,,,,,121,25128,7176,3423
,,,,,,,,122,24213,6915,3300
,,,,,,,,123,23745,6780,3237
,,,,,,,,124,23628,6747,3222
,,,,,,,,125,24204,6912,3300
,,,,,,,,126,26250,7497,3579
,,,,,,,,127,30096,8595,4104
,,,,,,,,128,32400,9255,4419
