Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,36895,10537.4,5029
,2,0.9,0.04,1800,,,,2,34892.8,9964,4756.4
,3,0.55,0.024,1100,,,,3,33402.9,9536.3,4554.3
,4,0.2,0.003,400,,,,4,32650.9,9324.8,4450.9
,,,,,,,,5,32533.4,9291.9,4436.8
,,,,,,,,6,33111.5,9456.4,4512
,,,,,,,,7,34342.9,9808.9,4681.2
,,,,,,,,8,35456.8,10123.8,4836.3
,,,,,,,,9,37346.2,10664.3,5090.1
,,,,,,,,10,39198,11195.4,5343.9
,,,,,,,,11,40316.6,11510.3,5494.3
,,,,,,,,12,40730.2,11627.8,5550.7
,,,,,,,,13,40922.9,11688.9,5578.9
,,,,,,,,14,40561,11580.8,5527.2
,,,,,,,,15,40156.8,11468,5475.5
,,,,,,,,16,40391.8,11533.8,5503.7
,,,,,,,,17,44325.7,12657.1,6044.2
,,,,,,,,18,48057.5,13724,6551.8
,,,,,,,,19,47775.5,13644.1,6514.2
,,,,,,,,20,46313.8,13230.5,6312.1
,,,,,,,,21,44603,12737,6081.8
,,,,,,,,22,42215.4,12055.5,5757.5
,,,,,,,,23,39259.1,11209.5,5353.3
,,,,,,,,24,35945.6,10264.8,4897.4
,,,,,,,,25,33139.7,9461.1,4516.7
,,,,,,,,26,31438.3,8977,4286.4
,,,,,,,,27,30620.5,8746.7,4173.6
,,,,,,,,28,30437.2,8690.3,4150.1
,,,,,,,,29,31104.6,8883,4239.4
,,,,,,,,30,32806,9367.1,4469.7
,,,,,,,,31,35358.1,10095.6,4817.5
,,,,,,,,32,37449.6,10692.5,5104.2
,,,,,,,,33,40011.1,11425.7,5456.7
,,,,,,,,34,42638.4,12177.7,5809.2
,,,,,,,,35,44565.4,12727.6,6072.4
,,,,,,,,36,45355,12948.5,6185.2
,,,,,,,,37,45284.5,12929.7,6171.1
,,,,,,,,38,44988.4,12849.8,6133.5
,,,,,,,,39,44847.4,12807.5,6114.7
,,,,,,,,40,45528.9,13000.2,6208.7
,,,,,,,,41,49801.2,14222.2,6786.8
,,,,,,,,42,54120.5,15458.3,7379
,,,,,,,,43,53645.8,15322,7313.2
,,,,,,,,44,52348.6,14950.7,7139.3
,,,,,,,,45,50233.6,14344.4,6847.9
,,,,,,,,46,46901.3,13395,6392
,,,,,,,,47,42770,12215.3,5832.7
,,,,,,,,48,39028.8,11148.4,5320.4
,,,,,,,,49,36547.2,10438.7,4982
,,,,,,,,50,35311.1,10081.5,4812.8
,,,,,,,,51,34714.2,9912.3,4732.9
,,,,,,,,52,34784.7,9935.8,4742.3
,,,,,,,,53,36034.9,10288.3,4911.5
,,,,,,,,54,39738.5,11345.8,5414.4
,,,,,,,,55,46285.6,13216.4,6312.1
,,,,,,,,56,49956.3,14264.5,6810.3
,,,,,,,,57,50576.7,14443.1,6894.9
,,,,,,,,58,50924.5,14541.8,6941.9
,,,,,,,,59,51380.4,14673.4,7003
,,,,,,,,60,51465,14696.9,7017.1
,,,,,,,,61,51253.5,14640.5,6988.9
,,,,,,,,62,51183,14621.7,6974.8
,,,,,,,,63,50990.3,14560.6,6951.3
,,,,,,,,64,51695.3,14762.7,7045.3
,,,,,,,,65,55732.6,15914.2,7595.2
,,,,,,,,66,60141.2,17173.8,8201.5
,,,,,,,,67,60258.7,17206.7,8215.6
,,,,,,,,68,59243.5,16920,8079.3
,,,,,,,,69,57316.5,16370.1,7816.1
,,,,,,,,70,53937.2,15401.9,7355.5
,,,,,,,,71,49420.5,14114.1,6739.8
,,,,,,,,72,45467.8,12986.1,6199.3
,,,,,,,,73,43009.7,12285.8,5860.9
,,,,,,,,74,41717.2,11914.5,5687
,,,,,,,,75,41059.2,11726.5,5597.7
,,,,,,,,76,41134.4,11745.3,5607.1
,,,,,,,,77,42253,12069.6,5762.2
,,,,,,,,78,45745.1,13066,6236.9
,,,,,,,,79,52094.8,14880.2,7101.7
,,,,,,,,80,55554,15867.2,7571.7
,,,,,,,,81,55619.8,15886,7585.8
,,,,,,,,82,55474.1,15843.7,7562.3
